content,title,date
"assets/art/IMG_0995.jpg","Drinks at broadway","22-11-2024"
"assets/art/IMG_0371.jpg","Newtown in all its glory","20-11-2024"
"assets/art/IMG_1447.jpg","Birdie sang I love you","28-10-2024"
"assets/art/IMG_1427.jpg","Two lovers","28-10-2024"
"assets/art/IMG_1419.jpg","Day at lighthouse","28-10-2024"
"assets/art/IMG_1312.jpg","Water so deep I may drown","28-10-2024"
"assets/art/IMG_1126.jpg","Orange hues","23-10-2024"
"assets/art/IMG_0913.jpg","Morning hustlers","23-10-2024"
"assets/art/IMG_1218.jpg","The early bird catches the worm","19-10-2024"
"assets/art/IMG_0306.jpg","Grass","19-10-2024"
"assets/art/IMG_1495.jpg","Ten days","18-10-2024"
"assets/art/IMG_1513.jpg","Urban peace","18-10-2024"
"assets/art/IMG_1278.jpg","Flower","08-10-2024"
"assets/art/IMG_1234.jpg","Perfect evenings","08-10-2024"
"assets/art/IMG_0806.jpg","wow","05-10-2024"
"assets/art/IMG_1033.jpg","The church cries","24-09-2024"
"assets/art/IMG_0297.jpg","Morning rays","23-08-2024"
"assets/art/IMG_1177.jpg","Monkey","19-08-2024"
"assets/art/IMG_1185.jpg","Cars go brrrr","16-08-2024"
"assets/art/IMG_1461.jpg","Beaches","24-07-2024"
"assets/art/IMG_0419.jpg","Uni pride","14-07-2024"
"assets/art/IMG_1757.jpg","Cafe hopping","10-07-2024"
"assets/art/IMG_1170.jpg","Painting","08-07-2024"
"assets/art/IMG_1014.jpg","Newtown's lovers","27-06-2024"
"assets/art/IMG_1976.jpg","Movies and free pizza","19-06-2024"
"assets/art/IMG_0425.jpg","Moonpie","20-05-2024"
"assets/art/IMG_0772.jpg","The last flight","04-05-2024"
"assets/art/IMG_0064.jpg","Glebe's sunset","14-04-2024"
"assets/art/IMG_0758.jpg","Bondi Universe","04-04-2024"
``"assets/art/IMG_0642.jpg","All the bright minds wake up early","11-03-2024"
"assets/art/IMG_1978.jpg","Sigil for dead","04-03-2024"
"assets/art/IMG_0240.jpg","Hijru bouys","24-02-2024"
"assets/art/IMG_0241.jpg","Road to nowhere","24-02-2024"
"assets/art/IMG_0157.jpg","Bluemountains in the mist","24-02-2024"
"assets/art/IMG_0036.jpg","Newtown in renovation","02-02-2024"
"assets/art/IMG_0689.jpg","Uggliest buildings in all of sydney","06-08-2023"
"assets/art/IMG_0033.jpg","Cricket over camperdown park, sunset","12-05-2023"
"assets/art/IMG_0023.jpg","Welcome to the gadigal land","15-04-2023"
"assets/art/IMG_035C57A3E546-1.jpeg","Blue hour","12-11-2022"
"assets/art/IMG_C3C36CC109A8-1.jpeg","Up from tashkan hills","04-10-2022"
"assets/art/IMG_5A707530866F-1.jpeg","Blue hour","02-10-2022"
"assets/art/IMG_C2D615C201D2-1.jpeg","Dead hands","01-01-2022"
"assets/art/IMG_E559451329DB-1.jpeg","To be in love","01-01-2022"
